factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
lymph_pwy203_pc5	04726	Serotonergic synapse	6	3	3	0.398	0.063	0.363	0.334
lymph_pwy250_pc1	04975	Fat digestion and absorption	39	3	3	0.77	0.013	0.053	0.804
lymph_pwy271_pc4	05132	Salmonella infection	20	3	3	0.471	-0.138	0.28	0.315
lymph_pwy282_pc2	05152	Tuberculosis	3	3	3	0.441	-0.109	0.313	0.312
lymph_pwy291_pc4	05168	Herpes simplex virus 1 infection	4	3	3	0.012	0.092	0.976	0.051
lymph_pwy52_pc3	00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	26	3	3	0.763	-0.037	0.056	0.783
myeloid_wbc_pwy127_pc2	75	75	75	3	3	0.373	-0.076	0.393	0.305
myeloid_wbc_pwy132_pc2	47	47	47	3	3	0.643	-0.083	0.128	0.634
myeloid_wbc_pwy251_pc5	22	22	22	3	3	0.576	-0.076	0.18	0.523
neut_pwy127_pc2	04080	Neuroactive ligand-receptor interaction	17	6	6	0.91	0.006	0.003	0.908
plt_pwy104_pc4	03320	PPAR signaling pathway	10	3	3	0.27	0.082	0.533	0.248
plt_pwy113_pc4	04014	Ras signaling pathway	84	3	3	0.661	0.047	0.115	0.675
plt_pwy141_pc4	04146	Peroxisome	99	3	2	0.66	-0.03	0.116	0.675
plt_pwy16_pc2	00190	Oxidative phosphorylation	95	3	3	0.204	-0.253	0.634	0.197
plt_pwy22_pc3	00260	Glycine, serine and threonine metabolism	85	3	3	0.074	-0.203	0.857	0.173
plt_pwy23_pc5	00270	Cysteine and methionine metabolism	28	4	3	0.319	-0.067	0.321	0.281
plt_pwy24_pc4	00280	Valine, leucine and isoleucine degradation	82	3	2	0.51	0.095	0.24	0.44
plt_pwy82_pc4	00920	Sulfur metabolism	128	3	3	0.573	0.065	0.182	0.534
plt_pwy87_pc5	01040	Biosynthesis of unsaturated fatty acids	40	3	3	0.545	0.055	0.207	0.517
rbc_pwy175_pc4	04614	Renin-angiotensin system	76	4	4	0.148	0.099	0.556	0.132
rbc_pwy176_pc3	04620	Toll-like receptor signaling pathway	63	3	3	0.023	0.145	0.954	0.06
ukb.allasthma_pwy152_pc2	04260	Cardiac muscle contraction	114	3	3	0.001	-0.15	0.999	0.001
ukb.allasthma_pwy241_pc3	04961	Endocrine and other factor-regulated calcium reabsorption	171	3	3	0.65	0.099	0.122	0.642
ukb.allasthma_pwy280_pc5	05146	Amoebiasis	201	3	3	0.349	0.249	0.424	0.269
ukb.allasthma_pwy307_pc2	05217	Basal cell carcinoma	101	3	3	0.01	0.285	0.98	0.05
wbc_pwy102_pc3	03050	Proteasome	96	3	3	0.562	0.078	0.192	0.523
wbc_pwy148_pc3	04215	Apoptosis - multiple species	42	3	3	0	-0.137	1	0.002
wbc_pwy179_pc2	04623	Cytosolic DNA-sensing pathway	59	4	4	0.854	-0.024	0.013	0.828
wbc_pwy254_pc4	04979	Cholesterol metabolism	38	3	3	0.914	0.008	0.007	0.937
wbc_pwy278_pc1	05144	Malaria	184	3	3	0.008	-0.212	0.984	0.049
wbc_pwy57_pc5	00565	Ether lipid metabolism	64	3	3	0.709	-0.037	0.085	0.746
wbc_pwy66_pc3	00630	Glyoxylate and dicarboxylate metabolism	23	4	4	0.001	-0.098	0.987	0.013
wbc_pwy71_pc5	00740	Riboflavin metabolism	82	3	3	0.788	0.043	0.045	0.834
