factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
T2Dunadj_pwy1033_pc2	R-HSA-400206	Regulation of lipid metabolism by PPARalpha	91	3	3	0.063	-0.191	0.878	0.197
T2Dunadj_pwy1072_pc5	R-HSA-428890	Role of ABL in ROBO-SLIT signaling	19	4	4	0.628	-0.108	0.088	0.581
T2Dunadj_pwy1156_pc4	R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	32	3	3	0.841	-0.035	0.025	0.864
T2Dunadj_pwy1161_pc3	R-HSA-8986944	Transcriptional Regulation by MECP2	65	3	3	0.527	0.085	0.224	0.411
T2Dunadj_pwy1164_pc4	R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis	8	5	5	0.72	-0.043	0.036	0.715
T2Dunadj_pwy1174_pc4	R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	88	4	4	0.904	-0.015	0.006	0.891
T2Dunadj_pwy1201_pc2	R-HSA-83936	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	10	3	3	0.047	0.266	0.908	0.135
T2Dunadj_pwy139_pc1	R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	9	3	3	0.889	0.037	0.012	0.909
T2Dunadj_pwy169_pc5	R-HSA-389356	CD28 co-stimulation	12	3	3	0.453	-0.133	0.299	0.418
T2Dunadj_pwy199_pc4	R-HSA-419812	Calcitonin-like ligand receptors	7	4	4	0.54	0.124	0.137	0.509
T2Dunadj_pwy242_pc2	R-HSA-3247509	Chromatin modifying enzymes	17	3	3	0.053	-0.14	0.896	0.19
T2Dunadj_pwy243_pc2	R-HSA-4839726	Chromatin organization	6	3	3	0.053	-0.14	0.896	0.19
T2Dunadj_pwy248_pc1	R-HSA-400253	Circadian Clock	91	3	3	0.593	0.106	0.166	0.574
T2Dunadj_pwy270_pc5	R-HSA-2514853	Condensation of Prometaphase Chromosomes	6	3	3	0.402	-0.228	0.358	0.348
T2Dunadj_pwy327_pc4	R-HSA-429914	Deadenylation-dependent mRNA decay	43	4	4	0.255	0.1	0.397	0.224
T2Dunadj_pwy387_pc5	R-HSA-9707616	Heme signaling	27	3	3	0.498	0.115	0.252	0.382
T2Dunadj_pwy443_pc2	R-HSA-163685	Integration of energy metabolism	10	3	3	0.914	0.019	0.007	0.907
T2Dunadj_pwy519_pc5	R-HSA-9613354	Lipophagy	11	4	4	0.777	-0.068	0.031	0.74
T2Dunadj_pwy524_pc1	R-HSA-9022537	Loss of MECP2 binding ability to the NCoR/SMRT complex	59	4	4	0.291	0.178	0.352	0.223
T2Dunadj_pwy526_pc1	R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	6	3	3	0.028	-0.328	0.944	0.138
T2Dunadj_pwy529_pc4	R-HSA-432720	Lysosome Vesicle Biogenesis	34	3	3	0.555	0.12	0.198	0.486
T2Dunadj_pwy581_pc4	R-HSA-189445	Metabolism of porphyrins	7	3	3	0.372	-0.152	0.395	0.273
T2Dunadj_pwy58_pc5	R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	21	3	3	0.007	0.328	0.987	0.014
T2Dunadj_pwy617_pc5	R-HSA-69618	Mitotic Spindle Checkpoint	23	4	4	0.298	-0.114	0.344	0.24
T2Dunadj_pwy622_pc1	R-HSA-2206281	Mucopolysaccharidoses	13	3	3	0.066	-0.295	0.872	0.203
T2Dunadj_pwy790_pc1	R-HSA-9005895	Pervasive developmental disorders	12	3	3	0.028	-0.328	0.944	0.138
T2Dunadj_pwy814_pc5	R-HSA-8963899	Plasma lipoprotein remodeling	17	3	3	0.71	-0.071	0.084	0.694
T2Dunadj_pwy883_pc1	R-HSA-9648002	RAS processing	798	3	3	0.009	-0.279	0.981	0.03
T2Dunadj_pwy888_pc5	R-HSA-5663220	RHO GTPases Activate Formins	9	5	5	0.498	-0.075	0.121	0.474
T2Dunadj_pwy952_pc3	R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	12	3	3	0.515	0.151	0.235	0.433
T2Dunadj_pwy965_pc2	R-HSA-8941856	RUNX3 regulates NOTCH signaling	31	3	3	0.53	-0.129	0.221	0.42
T2Dunadj_pwy984_pc4	R-HSA-418359	Reduction of cytosolic Ca++ levels	25	3	3	0.879	-0.028	0.015	0.891
WHR_pwy1128_pc4	R-HSA-977068	Termination of O-glycan biosynthesis	9	3	3	0.009	-0.128	0.982	0.11
WHR_pwy452_pc5	R-HSA-913531	Interferon Signaling	13	3	3	0.631	-0.023	0.136	0.593
WHR_pwy454_pc4	R-HSA-877300	Interferon gamma signaling	16	3	3	0.741	0.021	0.067	0.795
WHR_pwy552_pc1	R-HSA-165159	MTOR signalling	39	3	3	0.367	-0.109	0.4	0.28
WHR_pwy69_pc3	R-HSA-451326	Activation of kainate receptors upon glutamate binding	6	3	3	0.009	0.164	0.982	0.09
WHR_pwy815_pc3	R-HSA-75892	Platelet Adhesion to exposed collagen	11	3	3	0.709	-0.029	0.085	0.747
bmi_pwy1255_pc1	R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	25	3	3	0.042	0.213	0.917	0.065
bmi_pwy589_pc4	R-HSA-5661231	Metallothioneins bind metals	8	4	4	0.169	-0.103	0.521	0.154
fastingglu_pwy1097_pc3	R-HSA-5669034	TNFs bind their physiological receptors	35	3	3	0.895	0.023	0.011	0.804
fastingglu_pwy109_pc4	R-HSA-109581	Apoptosis	54	3	3	0.795	0.04	0.042	0.741
fastingglu_pwy1134_pc4	R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport	96	3	3	0.764	-0.028	0.056	0.731
fastingglu_pwy1186_pc4	R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	96	3	3	0.616	-0.115	0.148	0.556
fastingglu_pwy326_pc5	R-HSA-429947	Deadenylation of mRNA	73	3	3	0.565	0.103	0.189	0.654
fastingglu_pwy327_pc4	R-HSA-429914	Deadenylation-dependent mRNA decay	15	3	3	0.776	0.027	0.05	0.734
fastingglu_pwy453_pc5	R-HSA-909733	Interferon alpha/beta signaling	100	3	3	0.693	0.066	0.094	0.703
fastingglu_pwy462_pc1	R-HSA-8983432	Interleukin-15 signaling	10	3	3	0.502	-0.193	0.248	0.423
fastingglu_pwy560_pc3	R-HSA-1500620	Meiosis	179	3	3	0.385	-0.1	0.378	0.171
fastingglu_pwy562_pc4	R-HSA-1221632	Meiotic synapsis	26	3	3	0.333	0.106	0.445	0.154
fastingglu_pwy603_pc1	R-HSA-1362409	Mitochondrial iron-sulfur cluster biogenesis	77	3	3	0.67	0.064	0.109	0.699
fastingglu_pwy604_pc1	R-HSA-1268020	Mitochondrial protein import	106	3	3	0.789	0.033	0.045	0.748
fastingglu_pwy606_pc1	R-HSA-5368287	Mitochondrial translation	303	3	3	0.757	0.026	0.059	0.748
fastingglu_pwy607_pc1	R-HSA-5389840	Mitochondrial translation elongation	42	3	3	0.733	0.03	0.071	0.745
fastingglu_pwy608_pc1	R-HSA-5368286	Mitochondrial translation initiation	80	3	3	0.744	0.029	0.066	0.745
fastingglu_pwy609_pc1	R-HSA-5419276	Mitochondrial translation termination	177	3	3	0.737	0.029	0.069	0.745
fastingglu_pwy615_pc5	R-HSA-68877	Mitotic Prometaphase	12	3	3	0.387	0.093	0.376	0.255
fastingglu_pwy616_pc3	R-HSA-68875	Mitotic Prophase	11	3	3	0.861	-0.017	0.019	0.92
fastingglu_pwy621_pc2	R-HSA-947581	Molybdenum cofactor biosynthesis	39	3	3	0.789	-0.07	0.045	0.748
fastingglu_pwy789_pc5	R-HSA-9033241	Peroxisomal protein import	52	3	3	0.754	0.061	0.06	0.734
fastingglu_pwy917_pc1	R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	20	3	3	0.742	-0.067	0.067	0.745
fastingglu_pwy918_pc1	R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	43	3	3	0.742	-0.067	0.067	0.745
fastingglu_pwy941_pc5	R-HSA-73980	RNA Polymerase III Transcription Termination	52	3	3	0.712	0.066	0.083	0.734
fastingglu_pwy998_pc4	R-HSA-877312	Regulation of IFNG signaling	7	3	3	0.749	-0.069	0.063	0.745
