factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
EUR.UC_pwy199_pc5	R-HSA-140534	Caspase activation via Death Receptors in the presence of ligand	9	4	4	0.196	-1.426	0.478	0.163
EUR.UC_pwy305_pc3	R-HSA-73894	DNA Repair	14	3	3	0.027	-0.807	0.947	0.071
EUR.UC_pwy361_pc3	R-HSA-3371511	HSF1 activation	789	3	3	0.029	1.984	0.943	0.089
EUR.UC_pwy3_pc4	R-HSA-5619084	ABC transporter disorders	7	4	4	0.006	-0.772	0.945	0.065
EUR.UC_pwy462_pc2	R-HSA-109606	Intrinsic Pathway for Apoptosis	10	3	3	0.035	2.172	0.931	0.062
EUR.UC_pwy5_pc4	R-HSA-382556	ABC-family proteins mediated transport	23	3	3	0.003	0.794	0.995	0.03
EUR.UC_pwy633_pc1	R-HSA-164940	Nef mediated downregulation of MHC class I complex cell surface expression	24	3	2	0.59	0.63	0.168	0.477
EUR.UC_pwy819_pc5	R-HSA-169893	Prolonged ERK activation events	13	3	3	0.011	-2.378	0.978	0.028
EUR.UC_pwy915_pc1	R-HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	16	3	3	0.394	1.345	0.367	0.36
EUR.UC_pwy998_pc4	R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	36	3	3	0.006	0.571	0.988	0.054
HDL_pwy764_pc3	R-HSA-8850843	Phosphate bond hydrolysis by NTPDase proteins	8	3	3	0.007	0.248	0.986	0.021
LDL_pwy1051_pc5	R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	6	3	3	0.028	0.224	0.945	0.058
LDL_pwy1076_pc5	R-HSA-937072	TRAF6-mediated induction of TAK1 complex within TLR4 complex	10	4	4	0.261	-0.478	0.389	0.209
LDL_pwy1092_pc3	R-HSA-1663150	The activation of arylsulfatases	13	3	2	0.731	0.062	0.073	0.73
LDL_pwy15_pc4	R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	28	3	3	0.684	-0.154	0.1	0.718
LDL_pwy33_pc3	R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	51	4	4	0.325	0.163	0.314	0.313
LDL_pwy388_pc5	R-HSA-975163	IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	94	4	4	0.28	-0.431	0.365	0.223
LDL_pwy432_pc3	R-HSA-909733	Interferon alpha/beta signaling	94	4	4	0.207	0.126	0.462	0.163
LDL_pwy474_pc3	R-HSA-2022857	Keratan sulfate degradation	88	3	3	0.543	-0.134	0.209	0.532
LDL_pwy50_pc5	R-HSA-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	9	3	3	0.023	0.23	0.955	0.06
LDL_pwy520_pc1	R-HSA-8851805	MET activates RAS signaling	96	3	3	0.684	0.216	0.1	0.696
LDL_pwy53_pc3	R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	9	3	3	0.53	-0.293	0.221	0.512
LDL_pwy718_pc4	R-HSA-1963642	PI3K events in ERBB2 signaling	186	4	4	0.395	0.556	0.246	0.393
SCZ_pwy1044_pc3	R-HSA-202403	TCR signaling	25	3	3	0.008	0.328	0.984	0.055
SCZ_pwy104_pc4	R-HSA-111465	Apoptotic cleavage of cellular proteins	90	3	3	0.55	0.137	0.202	0.547
SCZ_pwy105_pc5	R-HSA-75153	Apoptotic execution phase	101	4	4	0.128	-0.219	0.592	0.102
SCZ_pwy1070_pc3	R-HSA-6803205	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	284	3	3	0.57	0.255	0.185	0.373
SCZ_pwy1117_pc1	R-HSA-167172	Transcription of the HIV genome	41	3	3	0.895	-0.043	0.011	0.927
SCZ_pwy1158_pc4	R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	79	3	3	0.268	0.214	0.535	0.256
SCZ_pwy1174_pc5	R-HSA-5689603	UCH proteinases	169	3	3	0	-0.267	1	0.002
SCZ_pwy117_pc1	R-HSA-68867	Assembly of the pre-replicative complex	13	3	3	0.009	0.275	0.982	0.037
SCZ_pwy1194_pc1	R-HSA-180585	Vif-mediated degradation of APOBEC3G	8	3	3	0.012	0.309	0.976	0.036
SCZ_pwy122_pc1	R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	33	3	3	0.011	0.295	0.977	0.036
SCZ_pwy14_pc1	R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	47	3	3	0.009	0.261	0.983	0.034
SCZ_pwy165_pc1	R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	19	3	3	0.011	0.293	0.979	0.039
SCZ_pwy166_pc1	R-HSA-68827	CDT1 association with the CDC6:ORC:origin complex	38	3	3	0.024	0.281	0.952	0.041
SCZ_pwy16_pc1	R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	47	3	3	0.013	0.297	0.974	0.042
SCZ_pwy17_pc1	R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	7	3	3	0.013	0.288	0.975	0.039
SCZ_pwy18_pc1	R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	281	3	3	0.01	0.285	0.98	0.036
SCZ_pwy19_pc1	R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	8	3	3	0.014	0.29	0.972	0.039
SCZ_pwy203_pc1	R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	16	3	3	0.015	0.292	0.97	0.04
SCZ_pwy216_pc1	R-HSA-9711123	Cellular response to chemical stress	32	7	7	0.22	0.164	0.238	0.217
SCZ_pwy218_pc1	R-HSA-1234174	Cellular response to hypoxia	17	3	3	0.013	0.289	0.975	0.034
SCZ_pwy272_pc1	R-HSA-389958	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	47	4	4	0.64	-0.109	0.082	0.573
SCZ_pwy276_pc5	R-HSA-8949613	Cristae formation	6	3	3	0.745	0.119	0.065	0.726
SCZ_pwy287_pc1	R-HSA-9707564	Cytoprotection by HMOX1	66	4	4	0.733	0.063	0.045	0.697
SCZ_pwy294_pc5	R-HSA-2424491	DAP12 signaling	37	3	3	0.029	0.343	0.942	0.195
SCZ_pwy299_pc5	R-HSA-73893	DNA Damage Bypass	61	3	3	0.952	0.014	0.002	0.972
SCZ_pwy354_pc1	R-HSA-162906	HIV Infection	7	3	3	0.011	-0.321	0.977	0.036
SCZ_pwy39_pc3	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	24	3	3	0.656	0.178	0.118	0.691
SCZ_pwy404_pc3	R-HSA-5663205	Infectious disease	65	3	3	0.99	0.001	0	0.997
SCZ_pwy41_pc1	R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	49	3	3	0.012	0.285	0.977	0.036
SCZ_pwy439_pc3	R-HSA-447115	Interleukin-12 family signaling	135	3	3	0.376	-0.277	0.39	0.296
SCZ_pwy540_pc3	R-HSA-8953854	Metabolism of RNA	457	3	3	0.962	-0.009	0.001	0.98
SCZ_pwy544_pc3	R-HSA-8978934	Metabolism of cofactors	7	3	3	0	0.46	1	0.006
SCZ_pwy600_pc4	R-HSA-3785653	Myoclonic epilepsy of Lafora	78	3	3	0.487	-0.245	0.263	0.325
SCZ_pwy616_pc3	R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus	23	5	5	0.168	-0.366	0.413	0.156
SCZ_pwy696_pc1	R-HSA-68949	Orc1 removal from chromatin	9	3	3	0.009	0.258	0.983	0.033
SCZ_pwy705_pc1	R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	27	3	3	0.012	0.302	0.977	0.033
SCZ_pwy708_pc1	R-HSA-4086400	PCP/CE pathway	82	3	3	0.011	0.379	0.978	0.078
SCZ_pwy750_pc3	R-HSA-209952	Peptide hormone biosynthesis	54	4	4	0.501	0.161	0.163	0.492
SCZ_pwy782_pc3	R-HSA-418360	Platelet calcium homeostasis	25	3	3	0.799	0.094	0.04	0.737
SCZ_pwy803_pc1	R-HSA-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	6	5	5	0.691	-0.079	0.044	0.678
SCZ_pwy818_pc4	R-HSA-1170546	Prolactin receptor signaling	137	4	4	0.446	0.206	0.203	0.507
SCZ_pwy865_pc5	R-HSA-9013422	RHOBTB1 GTPase cycle	16	3	3	0.005	0.361	0.991	0.108
SCZ_pwy919_pc3	R-HSA-8939245	RUNX1 regulates transcription of genes involved in BCR signaling	9	3	3	0.002	0.659	0.995	0.003
SCZ_pwy922_pc3	R-HSA-8939246	RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	9	3	3	0.395	-0.312	0.366	0.27
SCZ_pwy937_pc1	R-HSA-388844	Receptor-type tyrosine-protein phosphatases	10	3	3	0.236	-0.324	0.583	0.224
SCZ_pwy951_pc1	R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	32	3	3	0.01	0.271	0.981	0.036
SCZ_pwy964_pc5	R-HSA-9022692	Regulation of MECP2 expression and activity	114	3	3	0.738	-0.08	0.069	0.832
SCZ_pwy979_pc2	R-HSA-6804760	Regulation of TP53 Activity through Methylation	10	3	3	0.652	-0.24	0.121	0.616
SCZ_pwy999_pc1	R-HSA-453276	Regulation of mitotic cell cycle	162	3	3	0.009	0.261	0.983	0.034
T1D_pwy1044_pc3	R-HSA-202403	TCR signaling	15	3	3	0.268	-1.954	0.536	0.251
T1D_pwy1083_pc1	R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	6	3	3	0.567	1.487	0.188	0.494
T1D_pwy1117_pc1	R-HSA-167172	Transcription of the HIV genome	7	3	3	0.783	-0.508	0.047	0.806
T1D_pwy1124_pc2	R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	17	3	3	0.504	0.519	0.246	0.432
T1D_pwy1162_pc1	R-HSA-382551	Transport of small molecules	70	3	3	0.917	-0.076	0.007	0.954
T1D_pwy134_pc4	R-HSA-77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	10	4	4	0.711	-0.358	0.052	0.739
T1D_pwy198_pc1	R-HSA-200425	Carnitine metabolism	15	3	3	0.579	-0.688	0.177	0.54
T1D_pwy347_pc2	R-HSA-1614558	Degradation of cysteine and homocysteine	20	3	3	0.003	1.141	0.995	0.01
T1D_pwy347_pc3	R-HSA-1614558	Degradation of cysteine and homocysteine	28	3	3	0.386	-0.509	0.377	0.278
T1D_pwy356_pc1	R-HSA-167169	HIV Transcription Elongation	18	3	3	0.567	1.487	0.188	0.494
T1D_pwy357_pc1	R-HSA-167161	HIV Transcription Initiation	11	3	3	0.525	-1.341	0.225	0.424
T1D_pwy556_pc1	R-HSA-8957322	Metabolism of steroids	123	3	3	0.031	-0.971	0.94	0.103
T1D_pwy58_pc5	R-HSA-9619229	Activation of RAC1 downstream of NMDARs	11	3	3	0.993	-0.01	0	0.988
T1D_pwy748_pc5	R-HSA-71336	Pentose phosphate pathway	9	3	3	0.479	-2.055	0.272	0.355
T1D_pwy762_pc5	R-HSA-156580	Phase II - Conjugation of compounds	19	3	3	0.598	0.214	0.162	0.576
T1D_pwy78_pc5	R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	67	3	3	0.219	0.932	0.61	0.22
T1D_pwy805_pc3	R-HSA-112308	Presynaptic depolarization and calcium channel opening	33	3	3	0.961	0.034	0.002	0.976
T1D_pwy838_pc3	R-HSA-5365859	RA biosynthesis pathway	23	3	3	0.494	-0.361	0.256	0.41
T1D_pwy889_pc1	R-HSA-167162	RNA Polymerase II HIV Promoter Escape	11	3	3	0.525	-1.341	0.225	0.424
T1D_pwy891_pc1	R-HSA-73776	RNA Polymerase II Promoter Escape	141	3	3	0.525	-1.341	0.225	0.424
T1D_pwy894_pc1	R-HSA-75953	RNA Polymerase II Transcription Initiation	11	3	3	0.525	-1.341	0.225	0.424
T1D_pwy895_pc1	R-HSA-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	72	3	3	0.525	-1.341	0.225	0.424
T1D_pwy896_pc1	R-HSA-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	56	3	3	0.525	-1.341	0.225	0.424
T1D_pwy974_pc1	R-HSA-5686938	Regulation of TLR by endogenous ligand	7	3	3	0.472	0.499	0.279	0.338
T1D_pwy989_pc2	R-HSA-9010553	Regulation of expression of SLITs and ROBOs	11	3	3	0.933	0.021	0.005	0.921
T1D_pwy9_pc5	R-HSA-198323	AKT phosphorylates targets in the cytosol	95	5	5	0.292	0.833	0.269	0.248
T2Dbmiadj_pwy1001_pc3	R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	6	3	3	0.455	-0.278	0.297	0.327
T2Dbmiadj_pwy1025_pc3	R-HSA-76005	Response to elevated platelet cytosolic Ca2+	90	3	3	0.956	-0.011	0.002	0.972
T2Dbmiadj_pwy1178_pc3	R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	48	4	4	0.759	0.109	0.036	0.74
T2Dbmiadj_pwy1189_pc2	R-HSA-5218921	VEGFR2 mediated cell proliferation	95	3	3	0.726	-0.175	0.075	0.736
T2Dbmiadj_pwy123_pc3	R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	65	3	3	0.418	-0.33	0.338	0.258
T2Dbmiadj_pwy237_pc1	R-HSA-400253	Circadian Clock	6	3	3	0.058	0.434	0.888	0.14
T2Dbmiadj_pwy264_pc2	R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	21	3	3	0.028	-0.615	0.945	0.054
T2Dbmiadj_pwy340_pc2	R-HSA-9651496	Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	8	3	3	0.745	0.115	0.065	0.769
T2Dbmiadj_pwy366_pc3	R-HSA-5358346	Hedgehog ligand biogenesis	8	3	3	0.63	-0.145	0.137	0.635
T2Dbmiadj_pwy372_pc3	R-HSA-5387390	Hh mutants abrogate ligand secretion	7	3	3	0.607	0.155	0.154	0.613
T2Dbmiadj_pwy3_pc3	R-HSA-5619084	ABC transporter disorders	14	4	4	0.545	-0.152	0.134	0.532
T2Dbmiadj_pwy456_pc4	R-HSA-1266695	Interleukin-7 signaling	10	3	3	0.74	0.08	0.068	0.764
T2Dbmiadj_pwy484_pc3	R-HSA-9664535	LTC4-CYSLTR mediated IL4 production	21	3	3	0.017	0.397	0.967	0.078
T2Dbmiadj_pwy579_pc3	R-HSA-5389840	Mitochondrial translation elongation	6	3	3	0.347	-0.214	0.426	0.317
T2Dbmiadj_pwy645_pc3	R-HSA-9604323	Negative regulation of NOTCH4 signaling	30	3	3	0.269	0.338	0.535	0.212
T2Dbmiadj_pwy691_pc2	R-HSA-8983711	OAS antiviral response	57	3	3	0.63	0.26	0.137	0.609
T2Dbmiadj_pwy783_pc3	R-HSA-114608	Platelet degranulation 	28	3	3	0.956	-0.011	0.002	0.971
T2Dbmiadj_pwy910_pc2	R-HSA-9010642	ROBO receptors bind AKAP5	10	3	3	0.026	0.564	0.949	0.095
T2Dbmiadj_pwy984_pc3	R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	9	4	4	0.754	0.086	0.038	0.765
T2Dunadj_pwy1036_pc1	R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	6	3	3	0.59	0.017	0.168	0.536
T2Dunadj_pwy1037_pc1	R-HSA-2029485	Role of phospholipids in phagocytosis	28	3	3	0.043	0.049	0.915	0.156
T2Dunadj_pwy1193_pc5	R-HSA-5653656	Vesicle-mediated transport	26	4	4	0.263	-0.041	0.387	0.188
T2Dunadj_pwy141_pc1	R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	113	3	3	0.036	0.049	0.93	0.143
T2Dunadj_pwy159_pc1	R-HSA-5690714	CD22 mediated BCR regulation	31	3	3	0.041	0.053	0.919	0.154
T2Dunadj_pwy210_pc3	R-HSA-202733	Cell surface interactions at the vascular wall	85	3	3	0.03	0.218	0.941	0.125
T2Dunadj_pwy244_pc1	R-HSA-173623	Classical antibody-mediated complement activation	31	3	3	0.04	-0.048	0.921	0.154
T2Dunadj_pwy257_pc1	R-HSA-166658	Complement cascade	84	3	3	0.04	0.05	0.922	0.153
T2Dunadj_pwy264_pc3	R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	47	3	3	0.842	0.078	0.025	0.858
T2Dunadj_pwy275_pc1	R-HSA-166786	Creation of C4 and C2 activators	12	3	3	0.04	0.048	0.922	0.153
T2Dunadj_pwy397_pc1	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	16	3	3	0.582	0.021	0.174	0.528
T2Dunadj_pwy404_pc5	R-HSA-5663205	Infectious disease	8	3	3	0.472	0.029	0.279	0.333
T2Dunadj_pwy412_pc1	R-HSA-166663	Initial triggering of complement	24	3	3	0.039	0.048	0.923	0.15
T2Dunadj_pwy490_pc2	R-HSA-9658195	Leishmania infection	12	4	4	0.259	-0.042	0.391	0.181
T2Dunadj_pwy491_pc1	R-HSA-9664433	Leishmania parasite growth and survival	71	3	3	0.591	0.019	0.167	0.539
T2Dunadj_pwy492_pc2	R-HSA-9664417	Leishmania phagocytosis	658	3	3	0.478	-0.061	0.273	0.34
T2Dunadj_pwy662_pc3	R-HSA-196807	Nicotinate metabolism	284	3	2	0.33	0.183	0.449	0.312
T2Dunadj_pwy744_pc2	R-HSA-9664407	Parasite infection	533	3	3	0.478	-0.061	0.273	0.34
T2Dunadj_pwy74_pc5	R-HSA-1280218	Adaptive Immune System	65	3	3	0.606	0.018	0.155	0.559
T2Dunadj_pwy781_pc5	R-HSA-76002	Platelet activation, signaling and aggregation	69	3	3	0.471	0.102	0.28	0.332
T2Dunadj_pwy856_pc1	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	25	4	4	0.002	0.348	0.976	0.013
T2Dunadj_pwy910_pc2	R-HSA-9010642	ROBO receptors bind AKAP5	194	3	3	0.035	0.498	0.931	0.114
