LVs	Heritability	SE	zscore	pval	LV_AUC	pwys
53	0.250216	0.352314	0.710207371833081	0.238787775053993	0.685826683570736	1.KEGG_LYSOSOME,2.REACTOME_NEURONAL_SYSTEM,3.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
60	0.246888	0.224052	1.10192276792887	0.135247624686802	0	no-related-pathways
97	0.244769	0.201973	1.21188970803028	0.112777301173407	0	no-related-pathways
126	0.239419	0.226537	1.05686488299925	0.145286628686844	0	no-related-pathways
65	0.234712	0.273861	0.857047918469588	0.195709201319402	0.742056354916067	1.PID_ERBB1_DOWNSTREAM_PATHWAY,2.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,3.PID_SHP2_PATHWAY,
23	0.23383	0.201742	1.15905463413667	0.123216958024855	0.963828848698721	1.KEGG_FATTY_ACID_METABOLISM,2.KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,3.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,
106	0.232087	0.210345	1.10336352183318	0.134934665642467	0.520288974224383	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_GPCR_LIGAND_BINDING,
108	0.229721	0.216296	1.06206772201058	0.144102471102872	0.96761493522987	1.REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,2.REACTOME_CELL_CYCLE,3.MIPS_28S_RIBOSOMAL_SUBUNIT_MITOCHONDRIAL,
46	0.217109	0.320489	0.677430426629307	0.249066449402212	0.67158110176322	1.REACTOME_GPCR_LIGAND_BINDING,2.KEGG_MAPK_SIGNALING_PATHWAY,3.KEGG_ENDOCYTOSIS,
22	0.209226	0.194892	1.07354842682101	0.141512561484893	0.763288097257563	1.REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,2.KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,3.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
12	0.2011	0.182079	1.10446564403363	0.134695599407348	0.546706512685442	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_SIGNALING_BY_RHO_GTPASES,
38	0.195027	0.244183	0.798691964633083	0.2122345236008	0.5400050115893	1.REACTOME_NEURONAL_SYSTEM,
80	0.194596	0.226814	0.857954094544429	0.195458906099718	0.578027462555593	1.KEGG_MAPK_SIGNALING_PATHWAY,
3	0.192216	0.227165	0.846151475799529	0.19873412378744	0.682415865384615	1.PID_ERBB1_DOWNSTREAM_PATHWAY,2.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3.REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,
68	0.180936	0.162859	1.11099785704198	0.133284635857796	0	no-related-pathways
100	0.171378	0.262	0.654114503816794	0.2565190189427	0.946170286108239	1.REACTOME_DIABETES_PATHWAYS,2.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,3.KEGG_ECM_RECEPTOR_INTERACTION,
110	0.166727	0.239029	0.697517874400177	0.242739378621011	0.597274405573646	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,2.REACTOME_GPCR_LIGAND_BINDING,3.REACTOME_NEURONAL_SYSTEM,
74	0.164747	0.185961	0.885922317044972	0.187829694653323	0.696393525270531	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,2.REACTOME_TRANSCRIPTION,3.REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION,
49	0.162037	0.157271	1.03030437906543	0.151433572031076	0.617107127456416	1.REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,
99	0.15924	0.230903	0.689640238541725	0.245210228104734	0.395319738033119	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,
48	0.156369	0.212911	0.734433636589937	0.231342246329619	0	no-related-pathways
84	0.144922	0.186654	0.776420542822549	0.218750359559301	0	no-related-pathways
114	0.142999	0.224959	0.635666943754195	0.262496763169629	0.804487964096287	1.REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,2.PID_IL12_2PATHWAY,3.REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,
70	0.139978	0.176724	0.792071252348294	0.214159565636672	0.720594012728844	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.PID_NFAT_TFPATHWAY,3.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
96	0.13825	0.185025	0.74719632482097	0.227472531105256	0.594894180951239	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
26	0.13695	0.157187	0.871255256477953	0.191807397569709	0.93241738885366	1.REACTOME_REGULATION_OF_APOPTOSIS,2.REACTOME_CELL_CYCLE,3.REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,
4	0.133244	0.193271	0.689415380476119	0.24528095363037	0	no-related-pathways
87	0.127449	0.14114	0.90299702423126	0.183263737138737	0	no-related-pathways
28	0.117572	0.181466	0.647900984206408	0.258524497068122	0.652703003750046	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.KEGG_BASAL_CELL_CARCINOMA,3.KEGG_SMALL_CELL_LUNG_CANCER,
117	0.114709	0.150815	0.760594105360873	0.223449770829856	0.673320738874895	1.REACTOME_CELL_CYCLE,2.REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,3.KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,
125	0.107922	0.14412	0.748834304746045	0.226978540267204	0	no-related-pathways
61	0.107394	0.142757	0.752285352031774	0.225939737392462	0	no-related-pathways
78	0.077511	0.121663	0.637095912479554	0.262031185447714	0.655199316417134	1.KEGG_LYSOSOME,2.REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,3.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
32	0.072096	0.098144	0.734594065862406	0.231293376543099	0.708249911120259	1.ST_B_CELL_ANTIGEN_RECEPTOR,2.KEGG_NON_SMALL_CELL_LUNG_CANCER,3.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
25	0.061581	0.107835	0.571066907775769	0.283977144742356	0.960480421191181	1.REACTOME_CELL_CYCLE,2.REACTOME_DNA_REPAIR,3.KEGG_DNA_REPLICATION,
66	0.060205	0.115394	0.521734232282441	0.300927693311296	0	no-related-pathways
93	0.057682	0.096398	0.598373410236727	0.274795401818009	0	no-related-pathways
107	0.056739	0.143313	0.395909652299512	0.346085840079414	0.759629600031965	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
56	0.049711	0.135922	0.365731816777269	0.35728260108192	0.650190057166801	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.ST_B_CELL_ANTIGEN_RECEPTOR,3.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
10	0.048516	0.09193	0.527749374524094	0.298836649461025	0	no-related-pathways
42	0.04633	0.079343	0.583920446668263	0.279636918055765	0	no-related-pathways
121	0.04433	0.117192	0.378268141170046	0.35261570493482	0.83250175070028	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,3.REACTOME_GPCR_LIGAND_BINDING,
50	0.03801	0.110304	0.344593124456049	0.365200137722064	0	no-related-pathways
35	0.03731	0.108149	0.344987008663973	0.365052068727638	0.83570542886409	1.REACTOME_REGULATION_OF_APOPTOSIS,2.KEGG_LYSOSOME,3.KEGG_GLYCOLYSIS_GLUCONEOGENESIS,
111	0.032286	0.077619	0.415954856414022	0.338721518622915	0.635310175025424	1.PID_TAP63PATHWAY,2.PID_REG_GR_PATHWAY,3.PID_DELTANP63PATHWAY,
98	0.025146	0.075125	0.334722129783694	0.368917353157756	0.58676439194478	1.KEGG_PEROXISOME,
44	0.024322	0.075117	0.323788223704355	0.373049186225211	0	no-related-pathways
47	0.024095	0.083263	0.289384240298812	0.386143676875183	0	no-related-pathways
112	0.024026	0.088211	0.272369659112809	0.392668899810419	0.391805360781097	1.KEGG_HEMATOPOIETIC_CELL_LINEAGE,
59	0.023002	0.067008	0.343272445081184	0.365696754214687	0.555894952505122	1.KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,
85	0.015431	0.07133	0.216332538903687	0.41436427357414	0	no-related-pathways
45	0.011164	0.060604	0.184212263216949	0.426923469727084	0.803456364878107	1.PID_MTOR_4PATHWAY,2.KEGG_GLYCOLYSIS_GLUCONEOGENESIS,3.REACTOME_GLUCOSE_METABOLISM,
76	0.008323	0.051288	0.162279675557635	0.435542809541575	0	no-related-pathways
21	0.006343	0.052634	0.120511456473002	0.452039002416554	0.679934210526316	1.KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,2.REACTOME_HEMOSTASIS,3.KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,
83	0.002352	0.049204	0.0478009917892854	0.480937423064044	0.599175378895538	1.REACTOME_CELL_CYCLE,2.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,3.REACTOME_TRANSCRIPTION,
63	0.000606	0.042345	0.014311016648955	0.494290925258565	0.507446263383586	1.REACTOME_GPCR_LIGAND_BINDING,
6	1e-06	0.126942	7.87761339824487e-06	0.499996857286947	0.720833333333333	1.REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,2.KEGG_LYSOSOME,3.PID_BETACATENIN_NUC_PATHWAY,
8	1e-06	0.071001	1.40843086717089e-05	0.499994381173781	0.537569271928148	1.REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,2.REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,3.REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,
9	1e-06	0.233466	4.28327893569085e-06	0.499998291218934	0.624397183641975	1.KEGG_CELL_ADHESION_MOLECULES_CAMS,2.KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,3.REACTOME_NEURONAL_SYSTEM,
14	1e-06	0.049	2.04081632653061e-05	0.499991858320809	0.661826010223953	1.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,2.KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,
15	1e-06	0.054571	1.83247512415019e-05	0.499992689481952	0.825401709401709	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,3.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
16	1e-06	0.060719	1.64693094418551e-05	0.499993429696135	0.888788153520701	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,3.KEGG_ECM_RECEPTOR_INTERACTION,
20	1e-06	0.102184	9.78626790887027e-06	0.499996095843964	0.425824915824916	1.REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,
27	1e-06	0.061028	1.63859212164908e-05	0.499993462963224	0.579274669455442	1.REACTOME_CELL_CYCLE_MITOTIC,2.REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,3.REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,
29	1e-06	0.125294	7.98122815138794e-06	0.499996815950641	0.75346687211094	1.REACTOME_CELL_CYCLE,2.REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,3.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
31	1e-06	0.244354	4.09242328752547e-06	0.499998367359321	0.745861844248941	1.REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,2.KEGG_CELL_ADHESION_MOLECULES_CAMS,3.SIG_CD40PATHWAYMAP,
34	1e-06	0.049721	2.01122262223205e-05	0.499991976382608	0	no-related-pathways
39	1e-06	0.090408	1.10609680559243e-05	0.49999558731218	0.732700038284839	1.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,2.KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,3.KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,
40	1e-06	0.05394	1.85391175380052e-05	0.499992603962173	0.857282885708685	1.KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,2.REACTOME_SIGNALING_BY_PDGF,3.KEGG_ECM_RECEPTOR_INTERACTION,
51	1e-06	0.216542	4.61804176556973e-06	0.499998157667887	0.71801981400338	1.REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,2.REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,
54	1e-06	0.045648	2.1906764808973e-05	0.499991260465292	0.811074655765921	1.REACTOME_REGULATION_OF_APOPTOSIS,2.REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,3.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
58	1e-06	0.075469	1.32504737044349e-05	0.499994713825804	0.685895885212854	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,3.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
64	1e-06	0.048198	2.07477488692477e-05	0.499991722845754	0	no-related-pathways
71	1e-06	0.056002	1.7856505124817e-05	0.499992876285126	0	no-related-pathways
81	1e-06	0.271488	3.68340405469118e-06	0.499998530534387	0.814444444444444	1.PID_ERBB1_DOWNSTREAM_PATHWAY,2.BIOCARTA_CHREBP2_PATHWAY,3.PID_HEDGEHOG_GLIPATHWAY,
86	1e-06	0.07112	1.40607424071991e-05	0.49999439057536	0.623469337774295	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,3.REACTOME_GPCR_LIGAND_BINDING,
88	1e-06	0.090499	1.10498458546503e-05	0.499995591749297	0.558352550828313	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,
89	1e-06	0.292627	3.41731965949827e-06	0.499998636686702	0	no-related-pathways
102	1e-06	0.0993	1.00704934541793e-05	0.499995982454377	0	no-related-pathways
105	1e-06	0.043048	2.32298829213901e-05	0.499990732617535	0.548491613875478	1.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
113	1e-06	0.114053	8.76785354177444e-06	0.499996502132514	0.848267743020518	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,2.REACTOME_BIOLOGICAL_OXIDATIONS,3.REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS,
120	1e-06	0.076257	1.31135502314542e-05	0.499994768450367	0.40307273068972	1.REACTOME_NEURONAL_SYSTEM,
124	1e-06	0.081414	1.22828997469723e-05	0.499995099831965	0	no-related-pathways

